max1,max2,min1,min2,Std1,Std2,Kurtosis1,Kurtosis2,Skewness1,Skewness2,Activity1,Activity2,Mobility1,Mobility2,Complexity1,Complexity2,1st Difference Mean1,1st Difference Mean2,1st Difference Max1,1st Difference Max2,2nd Difference Mean1,2nd Difference Mean2,2nd Difference Max1,2nd Difference Max2,Wavelet Approximate Mean1,Wavelet Approximate Mean2,Wavelet Approximate Std Deviation1,Wavelet Approximate Std Deviation2,Wavelet Detailed Mean1,Wavelet Detailed Mean2,Wavelet Detailed Std Deviation1,Wavelet Detailed Std Deviation2,Wavelet Approximate Energy1,Wavelet Approximate Energy2,Wavelet Detailed Energy1,Wavelet Detailed Energy2,Wavelet Approximate Entropy1,Wavelet Approximate Entropy2,Wavelet Detailed Entropy1,Wavelet Detailed Entropy2,FFT Delta MaxPower1,FFT Delta MaxPower2,FFT Theta MaxPower1,FFT Theta MaxPower2,FFT Alpha MaxPower1,FFT Alpha MaxPower2,FFT Beta MaxPower1,FFT Beta MaxPower2,Result
0.769967055,0.437659534,-1,-0.373015862,0.472447241,0.208631777,-0.805140487,-0.971484917,-0.413943797,0.051145729,0.223206396,0.043527219,0.167814594,0.181078987,2.713331273,3.063904596,0.061809691,0.029731784,0.233721301,0.128655592,0.025896343,0.01478836,0.110328067,0.065144369,-0.001196931,0.007745128,0.656413092,0.292737481,0.00060228,-0.001248094,0.015125074,0.009241147,30.16157064,6.002865393,0.016039143,0.006086957,-7.722205495,-11.98096411,-0.119298839,-0.050888194,0.162273008,0.016138125,0.021464539,0.007283331,0.000644887,0.000323401,4.56E-05,2.74E-05,9
0.695446079,0.363285352,-1,-0.413231031,0.419707085,0.196840294,-0.636706609,-0.757907945,-0.360998203,-0.190821669,0.176154037,0.038746101,0.175041763,0.193518855,3.188355999,3.434982976,0.057397552,0.029372555,0.233570627,0.126340839,0.027511442,0.01612218,0.126340839,0.080282406,0.000207355,0.005097386,0.585603606,0.276261547,-0.001605851,-0.000852636,0.015150701,0.012869601,26.40573523,5.87867477,0.017873434,0.01280923,-11.43901139,-11.59192157,-0.131159885,-0.09931503,0.173574045,0.020868623,0.061113881,0.018001911,0.000730103,0.000192291,0.000159902,0.000135344,9
0.749887877,0.512799114,-1,-0.445502277,0.468139254,0.216360466,-0.831367689,-0.618173415,-0.444195662,0.138843825,0.219154361,0.046811851,0.186406816,0.197243192,3.193693929,3.124297384,0.069466583,0.031640807,0.24512349,0.182180108,0.033255793,0.017402838,0.149625853,0.086682471,0.003635785,0.005657331,0.652894985,0.303416185,0.000769805,0.000830738,0.020928795,0.011890036,30.69252578,6.630723858,0.031579709,0.010228542,-8.061024846,-12.21826563,-0.217799785,-0.082320709,0.199432891,0.023829869,0.048968141,0.009733084,0.001599143,0.000503437,0.000309446,9.91E-05,9
0.866526221,0.523569334,-1,-0.500095603,0.533635965,0.226253156,-1.004177152,-0.326581171,-0.242886747,-0.10233591,0.284767343,0.051190491,0.177796887,0.213819013,3.078440015,2.812372904,0.076941161,0.038019131,0.25177242,0.131363665,0.037360034,0.020106137,0.047344265,0.061156978,0.004703979,0.009651171,0.741628545,0.318320776,0.000432961,-0.000726568,0.024765985,0.014969921,39.60252193,7.302330815,0.044174985,0.016173104,-1.437144186,-11.86913064,-0.287552142,-0.121152329,0.233144206,0.026004176,0.037133189,0.011499339,0.00126112,0.000553359,0.000174651,0.000136692,9
0.930953757,0.378702935,-1,-0.414331847,0.50074342,0.184973091,-0.696929085,-0.476798971,-0.051234564,-0.260751464,0.250743973,0.034215045,0.186329203,0.225907243,3.106502614,3.31712792,0.070958948,0.031699008,0.310793499,0.147655321,0.037626785,0.018913324,0.221021336,0.02521291,0.001156584,0.00639982,0.698984548,0.261081577,-0.002727571,0.000538617,0.024436009,0.014744038,39.57503958,5.524568348,0.048969214,0.017631817,-1.46469212,-11.31687888,-0.322048283,-0.128130282,0.274062861,0.011868849,0.154846683,0.017487639,0.000608582,0.00043809,0.00013412,0.000229745,9
0.711652114,0.479950993,-1,-0.455894089,0.441931685,0.216871035,-0.409486261,-0.663001419,-0.416419881,-0.162143163,0.195303615,0.047033046,0.19432651,0.204390101,2.433581074,2.866462412,0.066400981,0.033010256,0.231764306,0.157067505,0.029916993,0.017907095,0.12445341,0.065723282,0.004648095,0.006519293,0.614613445,0.303336337,-0.000382871,-0.000364144,0.018876929,0.012657752,27.9550756,6.812102148,0.026379894,0.011865995,-6.805470499,-12.25581908,-0.181641374,-0.093066837,0.199808245,0.022687491,0.120939899,0.01736396,0.001342867,0.000278296,0.000160614,0.000220328,9
0.869976446,0.499886453,-1,-0.499477447,0.494506071,0.237444245,-0.922073125,-0.712014553,-0.154686438,-0.080457779,0.244536254,0.056379769,0.174937263,0.182135893,3.03149306,3.140652237,0.070116065,0.03592397,0.202543686,0.110602892,0.034293022,0.018256374,0.123015755,0.054017357,0.002427082,0.009021235,0.68965314,0.335408655,-0.001462789,0.001280401,0.022007676,0.012242301,35.19642348,8.330945795,0.035999339,0.011211988,-5.86014782,-13.51238754,-0.250403897,-0.091087337,0.246122712,0.023632054,0.055357112,0.013165776,0.000507074,0.000524845,9.36E-05,6.00E-05,9
0.749225684,0.407489321,-1,-0.441470838,0.464568274,0.205874283,-0.69903766,-0.630393011,-0.320084744,-0.206757501,0.215823681,0.042384221,0.166689022,0.1846898,3.151907186,3.270150279,0.061466874,0.030882256,0.198079759,0.110819591,0.028976738,0.016366545,0.112379275,0.056559036,0.000779831,0.006473471,0.648516658,0.290381607,-0.001697514,-0.000662816,0.018539977,0.011124091,33.64595709,6.749070663,0.027728985,0.009934778,-7.014340563,-12.41724989,-0.196543244,-0.081580598,0.259659164,0.021382252,0.070408727,0.017583075,0.000431349,9.96E-05,8.27E-05,0.000207883,9
0.790311162,0.33148327,-1,-0.403997063,0.439768501,0.206802832,-0.589052607,-1.034488403,-0.327274099,-0.190578601,0.193396334,0.042767411,0.176891188,0.181070328,2.739082736,3.158304372,0.062763771,0.029078803,0.230179816,0.111712231,0.027929261,0.01463776,0.107019037,0.068122417,0.004630663,0.007081363,0.611035772,0.289939268,-0.001345475,-0.001363647,0.015585036,0.009360083,26.13703107,5.888044723,0.017129255,0.006262948,-8.783988607,-11.69282589,-0.130394706,-0.052403583,0.161122594,0.020683952,0.030162163,0.006659733,0.000674289,0.000230263,4.00E-05,8.49E-05,9
0.730325084,0.471886601,-1,-0.371332792,0.421215956,0.201451243,-0.534783605,-0.530557433,-0.447864843,0.060173937,0.177422881,0.040582603,0.18571352,0.195609516,2.835497144,2.827540525,0.059853032,0.028673191,0.198001826,0.132412009,0.028360618,0.01528116,0.107490618,0.053129121,0.001196206,0.00629991,0.584623053,0.281666208,0.000671199,0.001625469,0.021303728,0.009225121,23.92498815,5.556287896,0.031800954,0.00614215,-9.113184111,-10.72636176,-0.213891764,-0.05255468,0.170471139,0.018642612,0.046712248,0.015661222,0.000172396,0.000252566,8.24E-05,9.72E-05,9
